scenario,implementation,mode,run,iterations,elapsedMs,elapsedPerIterationMs,cpuPeakPercent,rssPeakBytes,rssPeakMiB,records,bytes,exitCode
csv-large,node-csv-parser,csv-parser,5,1,1732.435,1732.435,29.0,59346944,56.598,336000,104892955,0
csv-large,go-csv-native,csv-native,1,1,148.807,148.807,13.0,13852672,13.211,336000,104892955,0
csv-large,go-csv-native,csv-native,2,1,177.39,177.39,9.0,13762560,13.125,336000,104892955,0
csv-large,go-csv-native,csv-native,3,1,148.02,148.02,17.0,13721600,13.086,336000,104892955,0
csv-large,go-csv-native,csv-native,4,1,148.618,148.618,9.0,13807616,13.168,336000,104892955,0
csv-large,go-csv-native,csv-native,5,1,134.727,134.727,9.0,14024704,13.375,336000,104892955,0
binary-normal,node-binary,binary,1,20,102.837,5.142,25.0,54853632,52.312,20,4323660,0
binary-normal,node-binary,binary,2,20,120.58,6.029,24.0,54587392,52.059,20,4323660,0
binary-normal,node-binary,binary,3,20,102.202,5.11,17.0,53760000,51.27,20,4323660,0
binary-normal,node-binary,binary,4,20,119.61,5.98,9.0,56991744,54.352,20,4323660,0
binary-normal,node-binary,binary,5,20,121.461,6.073,13.0,54706176,52.172,20,4323660,0
binary-normal,go-binary,binary,1,20,55.377,2.769,8.0,7360512,7.02,20,4323660,0
binary-normal,go-binary,binary,2,20,52.724,2.636,7.0,5599232,5.34,20,4323660,0
binary-normal,go-binary,binary,3,20,55.291,2.765,9.0,7528448,7.18,20,4323660,0
binary-normal,go-binary,binary,4,20,40.507,2.025,8.0,7028736,6.703,20,4323660,0
binary-normal,go-binary,binary,5,20,55.005,2.75,8.0,7442432,7.098,20,4323660,0
binary-large,node-binary,binary,1,1,284.056,284.056,25.0,66265088,63.195,1,134249643,0
binary-large,node-binary,binary,2,1,293.027,293.027,34.0,66244608,63.176,1,134249643,0
binary-large,node-binary,binary,3,1,281.753,281.753,25.0,65150976,62.133,1,134249643,0
binary-large,node-binary,binary,4,1,309.145,309.145,25.0,65654784,62.613,1,134249643,0
binary-large,node-binary,binary,5,1,324.28,324.28,24.0,66363392,63.289,1,134249643,0
binary-large,go-binary,binary,1,1,220.374,220.374,10.0,7401472,7.059,1,134249643,0
binary-large,go-binary,binary,2,1,192.204,192.204,9.0,7028736,6.703,1,134249643,0
binary-large,go-binary,binary,3,1,196.252,196.252,9.0,6873088,6.555,1,134249643,0
binary-large,go-binary,binary,4,1,180.76,180.76,9.0,6881280,6.562,1,134249643,0
binary-large,go-binary,binary,5,1,179.926,179.926,9.0,7028736,6.703,1,134249643,0
